p_id,code,name,menu_level,url,img,is_superuser_auth
,01000000,首页,1,,,0
,02000000,项目管理,1,,,0
02000000,02010000,我方发起,2,,,0
02010000,02010100,新建项目,3,,,0
02010000,02010200,编辑项目,3,,,0
02010000,02010300,删除,3,,,0
02000000,02020000,我方参与,2,,,0
,03000000,模型管理,1,,,0
03000000,03010000,我方发起,2,,,0
03010000,03010100,导入,3,,,0
03010000,03010200,发布模型,3,,,0
03010000,03010300,在线预测,3,,,0
03010000,03010400,模型详情,3,,,0
03010000,03010500,导出模型,3,,,0
03010000,03010600,删除,3,,,0
03000000,03020000,我方参与,2,,,0
03020000,03020100,导入,3,,,0
03020000,03020200,导出模型,3,,,0
03020000,03020300,审批,3,,,0
,04000000,服务管理,1,,,0
,05000000,数据资产,1,,,0
05000000,05010000,自有数据,2,,,0
05010000,05010100,新建样本,3,,,0
05010000,05010200,上线/下线,3,,,0
05010000,05010300,删除,3,,,0
05000000,05020000,外部数据,2,,,0
05020000,05020100,申请授权,3,,,0
05000000,05030000,授权审批,2,,,0
05030000,05030100,我方授权,3,,,0
05030100,05030101,审批,4,,,0
05030000,05030200,我方申请,3,,,0
,06000000,系统管理,1,,,0
06000000,06040000,用户管理,2,,,0
06000000,06030000,角色管理,2,,,0
06000000,06010100,节点管理,2,,,0
06010100,06010101,新建节点,3,,,0
06010100,06010102,测试,3,,,0
06010100,06010103,编辑节点,3,,,0
06010100,06010104,删除,3,,,0
,07000000,更多服务,1,,,0
07000000,07010000,神谱链,2,,,0
07000000,07020000,系统监控,2,,,0
07000000,07030000,审计日志,2,,,0
