p_id,code,name,menu_level,p_name
,1000,登录/退出,1,登录/退出
1000,1010,登录,2,登录/退出
1000,1020,退出,2,登录/退出
1000,1030,更改密码,2,登录/退出
,2000,系统管理,1,系统管理
2000,2010,新建用户,2,系统管理
2000,2020,删除用户,2,系统管理
2000,2030,编辑用户,2,系统管理
2000,2040,新建节点,2,系统管理
2000,2050,删除节点,2,系统管理
2000,2060,编辑节点,2,系统管理
2000,2070,新建角色,2,系统管理
2000,2080,删除角色,2,系统管理
2000,2090,编辑角色,2,系统管理
,3000,数据资产,1,数据资产
3000,3010,上传,2,数据资产
3000,3020,上线,2,数据资产
3000,3030,下线,2,数据资产
3000,3040,标注,2,数据资产
3000,3050,授权,2,数据资产
3000,3060,削权,2,数据资产
,4000,项目,1,项目
4000,4010,新建,2,项目
4000,4020,编辑,2,项目
4000,4030,删除,2,项目
,5000,任务,1,任务
5000,5010,新建,2,任务
5000,5020,编辑,2,任务
5000,5030,删除,2,任务
,6000,模型,1,模型
6000,6010,保存,2,模型
6000,6020,删除,2,模型
6000,6030,导出,2,模型
6000,6040,发布,2,模型
6000,6050,授权,2,模型
